# t_ps  r2_target_Ang  dist_Ang  force_kcal_per_mol_per_Ang  work_cum_kcal_per_mol
0.000000000000000000e+00 2.880000000000000071e+01 2.827890000000000015e+01 7.503870000000000040e+00 0.000000000000000000e+00
1.000000000000014211e+01 2.885000000000000142e+01 2.836852000000000018e+01 6.933250000000000135e+00 3.425799999999999956e-01
1.999999999999957367e+01 2.889999999999999858e+01 2.836417000000000144e+01 7.715989999999999682e+00 7.118100000000000538e-01
2.999999999999971578e+01 2.894999999999999929e+01 2.873332999999999871e+01 3.120060000000000056e+00 9.682600000000000096e-01
3.999999999999985789e+01 2.900000000000000000e+01 2.868005000000000138e+01 4.607249999999999623e+00 1.124870000000000037e+00
5.000000000000000000e+01 2.905000000000000071e+01 2.868138000000000076e+01 5.308130000000000237e+00 1.383359999999999923e+00
6.000000000000014211e+01 2.910000000000000142e+01 2.885094000000000136e+01 3.586500000000000021e+00 1.560230000000000006e+00
6.999999999999957367e+01 2.914999999999999858e+01 2.880712000000000117e+01 4.937400000000000233e+00 1.786419999999999897e+00
7.999999999999971578e+01 2.919999999999999929e+01 2.868029999999999902e+01 7.483710000000000306e+00 2.120340000000000114e+00
8.999999999999985789e+01 2.925000000000000000e+01 2.868608000000000047e+01 8.120380000000000820e+00 2.555579999999999963e+00
1.000000000000000000e+02 2.930000000000000071e+01 2.877894999999999825e+01 7.503049999999999997e+00 2.943599999999999994e+00
1.100000000000001421e+02 2.935000000000000142e+01 2.876323999999999970e+01 8.449389999999999290e+00 3.343879999999999963e+00
1.199999999999995737e+02 2.939999999999999858e+01 2.889837999999999951e+01 7.223279999999999923e+00 3.754340000000000011e+00
1.299999999999997158e+02 2.944999999999999929e+01 2.871346000000000132e+01 1.060613000000000028e+01 4.217789999999999928e+00
1.399999999999998579e+02 2.950000000000000000e+01 2.883931000000000111e+01 9.513899999999999579e+00 4.682439999999999714e+00
1.500000000000000000e+02 2.955000000000000071e+01 2.896126999999999896e+01 8.477750000000000341e+00 5.006490000000000329e+00
1.600000000000001421e+02 2.960000000000000142e+01 2.892132000000000147e+01 9.772980000000000445e+00 5.416999999999999815e+00
1.699999999999995737e+02 2.964999999999999858e+01 2.884265999999999863e+01 1.162564000000000064e+01 6.023909999999999876e+00
1.799999999999997158e+02 2.969999999999999929e+01 2.873783999999999850e+01 1.385505000000000031e+01 6.701600000000000001e+00
1.899999999999998579e+02 2.975000000000000000e+01 2.874117999999999995e+01 1.452706000000000053e+01 7.411990000000000300e+00
2.000000000000000000e+02 2.980000000000000071e+01 2.894216000000000122e+01 1.235285999999999973e+01 8.059089999999999421e+00
2.100000000000001421e+02 2.985000000000000142e+01 2.899643000000000015e+01 1.229143999999999970e+01 8.707399999999999807e+00
2.199999999999995737e+02 2.989999999999999858e+01 2.932714999999999961e+01 8.249079999999999302e+00 9.306449999999999889e+00
2.299999999999997158e+02 2.994999999999999929e+01 2.945311999999999841e+01 7.155039999999999623e+00 9.738220000000000098e+00
2.399999999999998579e+02 3.000000000000000000e+01 2.935240999999999900e+01 9.325329999999999231e+00 1.017073000000000071e+01
2.500000000000000000e+02 3.005000000000000071e+01 2.929557000000000144e+01 1.086386000000000074e+01 1.069566000000000017e+01
2.600000000000001137e+02 3.010000000000000142e+01 2.917336999999999847e+01 1.334351999999999983e+01 1.129920000000000080e+01
