# t_ps  r2_target_Ang  dist_Ang  force_kcal_per_mol_per_Ang  work_cum_kcal_per_mol
0.000000000000000000e+00 2.828000000000000114e+01 2.827890000000000015e+01 1.586999999999999869e-02 0.000000000000000000e+00
9.999999999998010480e+00 2.828999999999999915e+01 2.822619999999999862e+01 9.186999999999999611e-01 -2.180000000000000080e-03
1.999999999999957367e+01 2.830000000000000071e+01 2.827092999999999989e+01 4.186099999999999821e-01 1.809999999999999977e-03
2.999999999999758415e+01 2.830999999999999872e+01 2.849553999999999832e+01 -2.671790000000000109e+00 -1.452999999999999951e-02
3.999999999999914735e+01 2.832000000000000028e+01 2.847676999999999836e+01 -2.257439999999999891e+00 -4.207000000000000323e-02
4.999999999999715783e+01 2.832999999999999829e+01 2.839723000000000042e+01 -9.681100000000000261e-01 -4.055000000000000271e-02
5.999999999999872102e+01 2.833999999999999986e+01 2.822830000000000084e+01 1.608519999999999950e+00 -2.324000000000000024e-02
7.000000000000028422e+01 2.835000000000000142e+01 2.828446999999999889e+01 9.436200000000000143e-01 -2.024000000000000105e-02
7.999999999999829470e+01 2.835999999999999943e+01 2.803700999999999866e+01 4.651069999999999816e+00 6.919999999999999936e-03
8.999999999999985789e+01 2.837000000000000099e+01 2.823691000000000173e+01 1.916460000000000052e+00 2.145999999999999991e-02
9.999999999999786837e+01 2.837999999999999901e+01 2.806534999999999869e+01 4.530969999999999942e+00 6.079999999999999988e-02
1.099999999999994316e+02 2.839000000000000057e+01 2.833667000000000158e+01 7.679399999999999560e-01 8.845000000000000084e-02
1.199999999999974420e+02 2.839999999999999858e+01 2.817700999999999922e+01 3.211009999999999920e+00 9.277000000000000524e-02
1.299999999999990052e+02 2.841000000000000014e+01 2.840264000000000166e+01 1.059699999999999948e-01 9.611999999999999711e-02
1.400000000000005684e+02 2.842000000000000171e+01 2.849336999999999875e+01 -1.056519999999999904e+00 8.321000000000000618e-02
1.499999999999985789e+02 2.842999999999999972e+01 2.836961000000000155e+01 8.695899999999999741e-01 8.515999999999999959e-02
1.600000000000001421e+02 2.844000000000000128e+01 2.827766000000000091e+01 2.337619999999999809e+00 1.011100000000000054e-01
1.699999999999981526e+02 2.844999999999999929e+01 2.821085000000000065e+01 3.443740000000000023e+00 1.356199999999999906e-01
1.799999999999997158e+02 2.846000000000000085e+01 2.854692999999999969e+01 -1.251789999999999958e+00 1.536399999999999988e-01
1.899999999999977263e+02 2.846999999999999886e+01 2.869119999999999848e+01 -3.185329999999999995e+00 1.232199999999999962e-01
1.999999999999992895e+02 2.848000000000000043e+01 2.881847000000000136e+01 -4.873910000000000409e+00 7.517999999999999683e-02
2.099999999999972999e+02 2.848999999999999844e+01 2.864189999999999969e+01 -2.187310000000000088e+00 4.299999999999999656e-02
2.199999999999988631e+02 2.850000000000000000e+01 2.869594999999999985e+01 -2.821699999999999875e+00 2.203000000000000097e-02
2.300000000000004263e+02 2.851000000000000156e+01 2.862630000000000052e+01 -1.674719999999999986e+00 4.159999999999999636e-03
2.399999999999984368e+02 2.851999999999999957e+01 2.839277999999999835e+01 1.832019999999999982e+00 8.909999999999999518e-03
2.500000000000000000e+02 2.853000000000000114e+01 2.839498000000000033e+01 1.944339999999999957e+00 2.835000000000000020e-02
2.599999999999980105e+02 2.853999999999999915e+01 2.844299000000000177e+01 1.396879999999999900e+00 4.367999999999999661e-02
2.699999999999995453e+02 2.855000000000000071e+01 2.818274999999999864e+01 5.288380000000000081e+00 8.115999999999999603e-02
2.799999999999975557e+02 2.855999999999999872e+01 2.818663000000000096e+01 5.376559999999999562e+00 1.246199999999999947e-01
