# t_ps  r2_target_Ang  dist_Ang  force_kcal_per_mol_per_Ang  work_cum_kcal_per_mol
0.000000000000000000e+00 2.880000000000000071e+01 3.127384999999999948e+01 -3.562342999999999904e+01 0.000000000000000000e+00
1.000000000000014211e+01 2.885000000000000142e+01 3.038511000000000095e+01 -2.210559999999999903e+01 -1.396630000000000038e+00
1.999999999999957367e+01 2.889999999999999858e+01 3.008380000000000010e+01 -1.704674999999999940e+01 -2.384399999999999853e+00
2.999999999999971578e+01 2.894999999999999929e+01 2.989489999999999981e+01 -1.360655999999999999e+01 -3.201940000000000008e+00
3.999999999999985789e+01 2.900000000000000000e+01 2.994263000000000119e+01 -1.357393000000000072e+01 -3.842239999999999878e+00
5.000000000000000000e+01 2.905000000000000071e+01 2.951362999999999914e+01 -6.676239999999999952e+00 -4.377089999999999925e+00
6.000000000000014211e+01 2.910000000000000142e+01 2.966058999999999912e+01 -8.072449999999999903e+00 -4.759629999999999583e+00
6.999999999999957367e+01 2.914999999999999858e+01 2.965355999999999881e+01 -7.251219999999999999e+00 -5.073220000000000063e+00
7.999999999999971578e+01 2.919999999999999929e+01 2.970377999999999830e+01 -7.254389999999999894e+00 -5.494950000000000223e+00
8.999999999999985789e+01 2.925000000000000000e+01 2.978791999999999973e+01 -7.746100000000000207e+00 -5.894420000000000215e+00
1.000000000000000000e+02 2.930000000000000071e+01 3.004118000000000066e+01 -1.067296999999999940e+01 -6.329909999999999926e+00
1.100000000000001421e+02 2.935000000000000142e+01 2.956890999999999892e+01 -3.152289999999999814e+00 -6.645620000000000083e+00
1.199999999999995737e+02 2.939999999999999858e+01 2.947225999999999857e+01 -1.040550000000000086e+00 -6.766160000000000174e+00
1.299999999999997158e+02 2.944999999999999929e+01 2.953466999999999842e+01 -1.219189999999999996e+00 -6.826710000000000278e+00
1.399999999999998579e+02 2.950000000000000000e+01 2.977644000000000091e+01 -3.980789999999999829e+00 -6.961820000000000341e+00
1.500000000000000000e+02 2.955000000000000071e+01 2.958481000000000094e+01 -5.012199999999999989e-01 -7.055390000000000050e+00
1.600000000000001421e+02 2.960000000000000142e+01 2.966693000000000069e+01 -9.637900000000000356e-01 -7.134789999999999743e+00
1.699999999999995737e+02 2.964999999999999858e+01 2.965934000000000026e+01 -1.344599999999999962e-01 -7.105080000000000062e+00
