# t_ps  r2_target_Ang  dist_Ang  force_kcal_per_mol_per_Ang  work_cum_kcal_per_mol
0.000000000000000000e+00 2.880000000000000071e+01 3.127384999999999948e+01 -3.562342999999999904e+01 0.000000000000000000e+00
1.000000000000014211e+01 2.885000000000000142e+01 3.038511000000000095e+01 -2.210559999999999903e+01 0.000000000000000000e+00
1.999999999999957367e+01 2.889999999999999858e+01 3.008380000000000010e+01 -1.704674999999999940e+01 -9.877699999999998148e-01
2.999999999999971578e+01 2.894999999999999929e+01 2.989489999999999981e+01 -1.360655999999999999e+01 -1.805309999999999970e+00
3.999999999999985789e+01 2.900000000000000000e+01 2.994263000000000119e+01 -1.357393000000000072e+01 -2.445609999999999840e+00
5.000000000000000000e+01 2.905000000000000071e+01 2.951362999999999914e+01 -6.676239999999999952e+00 -2.980459999999999887e+00
6.000000000000014211e+01 2.910000000000000142e+01 2.966058999999999912e+01 -8.072449999999999903e+00 -3.362999999999999545e+00
6.999999999999957367e+01 2.914999999999999858e+01 2.965355999999999881e+01 -7.251219999999999999e+00 -3.676590000000000025e+00
7.999999999999971578e+01 2.919999999999999929e+01 2.970377999999999830e+01 -7.254389999999999894e+00 -4.098320000000000185e+00
8.999999999999985789e+01 2.925000000000000000e+01 2.978791999999999973e+01 -7.746100000000000207e+00 -4.497790000000000177e+00
1.000000000000000000e+02 2.930000000000000071e+01 3.004118000000000066e+01 -1.067296999999999940e+01 -4.933279999999999887e+00
1.100000000000001421e+02 2.935000000000000142e+01 2.956890999999999892e+01 -3.152289999999999814e+00 -5.248990000000000045e+00
1.199999999999995737e+02 2.939999999999999858e+01 2.947225999999999857e+01 -1.040550000000000086e+00 -5.369530000000000136e+00
1.299999999999997158e+02 2.944999999999999929e+01 2.953466999999999842e+01 -1.219189999999999996e+00 -5.430080000000000240e+00
1.399999999999998579e+02 2.950000000000000000e+01 2.977644000000000091e+01 -3.980789999999999829e+00 -5.565190000000000303e+00
1.500000000000000000e+02 2.955000000000000071e+01 2.958481000000000094e+01 -5.012199999999999989e-01 -5.658760000000000012e+00
1.600000000000001421e+02 2.960000000000000142e+01 2.966693000000000069e+01 -9.637900000000000356e-01 -5.738159999999999705e+00
1.699999999999995737e+02 2.964999999999999858e+01 2.965934000000000026e+01 -1.344599999999999962e-01 -5.708450000000000024e+00
1.799999999999997158e+02 2.969999999999999929e+01 2.953761000000000081e+01 2.338350000000000151e+00 -5.601239999999999775e+00
1.899999999999998579e+02 2.975000000000000000e+01 2.970576000000000150e+01 6.369899999999999451e-01 -5.514800000000000146e+00
2.000000000000000000e+02 2.980000000000000071e+01 2.988213000000000008e+01 -1.182679999999999954e+00 -5.471379999999999910e+00
2.100000000000001421e+02 2.985000000000000142e+01 2.990834999999999866e+01 -8.401999999999999469e-01 -5.520660000000000345e+00
2.199999999999995737e+02 2.989999999999999858e+01 3.008551999999999893e+01 -2.671419999999999906e+00 -5.652420000000000222e+00
2.299999999999997158e+02 2.994999999999999929e+01 2.970702999999999960e+01 3.498740000000000183e+00 -5.656259999999999621e+00
2.399999999999998579e+02 3.000000000000000000e+01 3.017378000000000071e+01 -2.502429999999999932e+00 -5.715499999999999581e+00
2.500000000000000000e+02 3.005000000000000071e+01 3.025545999999999935e+01 -2.958660000000000068e+00 -5.776329999999999742e+00
2.600000000000001137e+02 3.010000000000000142e+01 3.020100000000000051e+01 -1.454329999999999901e+00 -5.898299999999999876e+00
2.699999999999995453e+02 3.014999999999999858e+01 3.032919000000000054e+01 -2.580290000000000195e+00 -5.982870000000000132e+00
2.799999999999997158e+02 3.019999999999999929e+01 3.026963999999999899e+01 -1.002850000000000019e+00 -6.103259999999999685e+00
2.899999999999998295e+02 3.025000000000000000e+01 3.015874000000000166e+01 1.314200000000000035e+00 -6.131240000000000023e+00
3.000000000000000000e+02 3.030000000000000071e+01 3.053929000000000116e+01 -3.445819999999999883e+00 -6.141530000000000378e+00
3.100000000000001137e+02 3.035000000000000142e+01 3.048191999999999879e+01 -1.899659999999999904e+00 -6.332089999999999996e+00
3.199999999999995453e+02 3.039999999999999858e+01 3.035288999999999859e+01 6.784299999999999775e-01 -6.355839999999999712e+00
3.299999999999997158e+02 3.044999999999999929e+01 3.031754000000000104e+01 1.907419999999999893e+00 -6.321089999999999876e+00
3.399999999999998295e+02 3.050000000000000000e+01 3.047336999999999918e+01 3.835299999999999820e-01 -6.223959999999999937e+00
3.500000000000000000e+02 3.055000000000000071e+01 3.054690000000000083e+01 4.467000000000000137e-02 -6.221820000000000128e+00
3.600000000000001137e+02 3.060000000000000142e+01 3.053744000000000014e+01 9.008000000000000451e-01 -6.166209999999999525e+00
3.699999999999995453e+02 3.064999999999999858e+01 3.069028000000000134e+01 -5.799600000000000311e-01 -6.087110000000000021e+00
3.799999999999997158e+02 3.069999999999999929e+01 3.063084999999999880e+01 9.957500000000000240e-01 -6.039620000000000211e+00
3.899999999999998295e+02 3.075000000000000000e+01 3.040164000000000044e+01 5.016399999999999970e+00 -5.853439999999999976e+00
4.000000000000000000e+02 3.080000000000000071e+01 3.056263999999999825e+01 3.418039999999999967e+00 -5.652330000000000076e+00
4.100000000000001137e+02 3.085000000000000142e+01 3.066060999999999837e+01 2.727250000000000174e+00 -5.464780000000000193e+00
4.199999999999995453e+02 3.089999999999999858e+01 3.077881999999999962e+01 1.744979999999999976e+00 -5.360170000000000101e+00
4.299999999999997158e+02 3.094999999999999929e+01 3.066529999999999845e+01 4.099730000000000096e+00 -5.256160000000000387e+00
4.399999999999998295e+02 3.100000000000000000e+01 3.059093000000000018e+01 5.890609999999999680e+00 -5.021930000000000227e+00
4.500000000000000000e+02 3.105000000000000071e+01 3.090187999999999846e+01 2.132880000000000109e+00 -4.749959999999999738e+00
4.600000000000001137e+02 3.110000000000000142e+01 3.082873999999999981e+01 3.906159999999999854e+00 -4.600670000000000037e+00
4.699999999999995453e+02 3.114999999999999858e+01 3.059887000000000157e+01 7.936270000000000380e+00 -4.359989999999999810e+00
4.799999999999997158e+02 3.119999999999999929e+01 3.061537999999999826e+01 8.418490000000000251e+00 -3.946060000000000123e+00
4.899999999999998295e+02 3.125000000000000000e+01 3.103622999999999976e+01 3.078219999999999956e+00 -3.612140000000000128e+00
5.000000000000000000e+02 3.130000000000000071e+01 3.120938999999999908e+01 1.304810000000000025e+00 -3.448730000000000295e+00
5.100000000000001137e+02 3.135000000000000142e+01 3.091664000000000101e+01 6.240350000000000286e+00 -3.222150000000000070e+00
5.199999999999995453e+02 3.139999999999999858e+01 3.093298000000000059e+01 6.725120000000000431e+00 -2.860229999999999606e+00
5.299999999999996589e+02 3.144999999999999929e+01 3.107501999999999853e+01 5.399689999999999657e+00 -2.548579999999999846e+00
5.399999999999998863e+02 3.150000000000000000e+01 3.113363000000000014e+01 5.275660000000000238e+00 -2.247669999999999835e+00
5.500000000000000000e+02 3.155000000000000071e+01 3.111637999999999948e+01 6.244119999999999671e+00 -1.924659999999999815e+00
5.600000000000001137e+02 3.160000000000000142e+01 3.110181000000000040e+01 7.173910000000000231e+00 -1.607250000000000068e+00
5.699999999999995453e+02 3.164999999999999858e+01 3.148582000000000036e+01 2.364160000000000039e+00 -1.352459999999999773e+00
5.799999999999996589e+02 3.169999999999999929e+01 3.156084999999999852e+01 2.003719999999999946e+00 -1.232289999999999885e+00
5.899999999999998863e+02 3.175000000000000000e+01 3.153286999999999907e+01 3.126630000000000020e+00 -1.182939999999999880e+00
6.000000000000000000e+02 3.180000000000000071e+01 3.168077999999999861e+01 1.716730000000000089e+00 -1.071959999999999802e+00
6.100000000000001137e+02 3.185000000000000142e+01 3.166385000000000005e+01 2.680540000000000145e+00 -9.303900000000000503e-01
6.199999999999995453e+02 3.189999999999999858e+01 3.140927999999999898e+01 7.066390000000000171e+00 -7.309499999999999886e-01
6.299999999999996589e+02 3.194999999999999929e+01 3.140036999999999878e+01 7.914699999999999847e+00 -3.529599999999999405e-01
6.399999999999998863e+02 3.200000000000000000e+01 3.176188000000000144e+01 3.428869999999999862e+00 -4.733999999999993769e-02
6.499999999999993179e+02 3.204999999999999716e+01 3.191743999999999915e+01 1.908879999999999910e+00 5.569000000000001727e-02
6.600000000000001137e+02 3.210000000000000142e+01 3.198295999999999850e+01 1.685300000000000020e+00 1.593500000000001027e-01
6.699999999999995453e+02 3.214999999999999858e+01 3.184673000000000087e+01 4.367090000000000138e+00 3.828400000000000691e-01
6.800000000000004547e+02 3.220000000000000284e+01 3.179757999999999996e+01 5.794800000000000395e+00 5.999700000000000033e-01
6.899999999999998863e+02 3.225000000000000000e+01 3.201084000000000174e+01 3.443869999999999987e+00 8.761600000000000499e-01
6.999999999999993179e+02 3.229999999999999716e+01 3.211478999999999928e+01 2.667069999999999830e+00 1.001030000000000086e+00
7.100000000000001137e+02 3.235000000000000142e+01 3.193259000000000114e+01 6.010760000000000325e+00 1.235279999999999934e+00
7.199999999999995453e+02 3.239999999999999858e+01 3.186186999999999969e+01 7.749060000000000059e+00 1.547009999999999996e+00
7.300000000000004547e+02 3.245000000000000284e+01 3.210656999999999783e+01 4.945429999999999993e+00 1.854649999999999910e+00
7.399999999999998863e+02 3.250000000000000000e+01 3.216356999999999999e+01 4.844619999999999926e+00 2.070770000000000000e+00
7.499999999999993179e+02 3.254999999999999716e+01 3.204352999999999696e+01 7.293180000000000440e+00 2.451559999999999739e+00
7.600000000000001137e+02 3.260000000000000142e+01 3.221359000000000350e+01 5.564320000000000377e+00 2.757159999999999833e+00
7.699999999999995453e+02 3.264999999999999858e+01 3.248017000000000110e+01 2.445590000000000153e+00 2.996609999999999996e+00
7.800000000000004547e+02 3.270000000000000284e+01 3.238824000000000325e+01 4.489359999999999573e+00 3.138370000000000104e+00
7.899999999999998863e+02 3.275000000000000000e+01 3.249887999999999977e+01 3.616109999999999935e+00 3.371739999999999959e+00
7.999999999999993179e+02 3.279999999999999716e+01 3.243529999999999802e+01 5.251710000000000100e+00 3.626910000000000078e+00
8.100000000000001137e+02 3.285000000000000142e+01 3.253598999999999819e+01 4.521709999999999674e+00 3.841559999999999864e+00
8.199999999999995453e+02 3.289999999999999858e+01 3.258767000000000280e+01 4.497609999999999886e+00 4.030229999999999535e+00
8.300000000000004547e+02 3.295000000000000284e+01 3.248716000000000292e+01 6.664909999999999890e+00 4.309470000000000134e+00
8.399999999999998863e+02 3.300000000000000000e+01 3.259866999999999848e+01 5.779139999999999944e+00 4.653439999999999799e+00
8.499999999999993179e+02 3.304999999999999716e+01 3.251276000000000010e+01 7.736250000000000071e+00 5.038429999999999964e+00
8.600000000000001137e+02 3.310000000000000142e+01 3.266543999999999670e+01 6.257690000000000197e+00 5.368489999999999540e+00
8.699999999999995453e+02 3.314999999999999858e+01 3.269823999999999842e+01 6.505399999999999849e+00 5.655020000000000380e+00
8.800000000000004547e+02 3.320000000000000284e+01 3.278143000000000029e+01 6.027389999999999581e+00 5.996000000000000441e+00
8.899999999999998863e+02 3.325000000000000000e+01 3.277976000000000312e+01 6.771499999999999631e+00 6.364419999999999966e+00
