"archive_path","bytes","sha256","member_count","common_root","safe","absolute_paths","traversal_paths","duplicate_paths","links","special_files"
"Cprime_migration_20260815/archive/P3_20260814_分片可重启/cleaved.tgz","9308","2d68fc708a32101691e7abddde3ca4c1e65554a7272c7186a9df379bab935363","12","cleaved","True","0","0","0","0","0"
"Cprime_migration_20260815/archive/P3_20260814_分片可重启/M3_SMD分片可重启包.tar.gz","3650","3d5bdec39c6de7bfbbdeea2d6f1b1b74fd4a9e938b2743ecb949bee20ea677c3","5","M3_SMD分片可重启包","True","0","0","0","0","0"
"Cprime_migration_20260815/archive/P3_20260814_分片可重启/uncleaved.tgz","9305","d338a100947a70bdb3981e38a504fee4fa99bd9ddb8f0f1f2840ecc520318143","12","uncleaved","True","0","0","0","0","0"
"Cprime_migration_20260815/archive/P4_20260815_核验修订/M3_SMD初筛核验修订包.tar.gz","12406","82de76be417b85dc7ffa4b14a5d190f347c16dded323ace376a4c1b63a8c2637","14","M3_SMD初筛核验修订包","True","0","0","0","0","0"
"simulations/construct-X/cleaved/cleaved (1).tgz","9308","2d68fc708a32101691e7abddde3ca4c1e65554a7272c7186a9df379bab935363","12","cleaved","True","0","0","0","0","0"
"simulations/construct-X/cleaved/cleaved.tgz","7213","fc6041920c9c014b11c6f16b48459be447de4f5117ef6667a96b9c9de67dce32","12","cleaved","True","0","0","0","0","0"
"simulations/construct-X/cleaved/construct_X_cleaved.tgz","63715245","c690db985aa83b89b0863a7ac0a9069b0f1cbaef36ab9570529ff4e277f6ec74","142","charmm-gui-8643876985","True","0","0","0","0","0"
"simulations/construct-X/M3_SMD分片可重启包.tar.gz","3650","3d5bdec39c6de7bfbbdeea2d6f1b1b74fd4a9e938b2743ecb949bee20ea677c3","5","M3_SMD分片可重启包","True","0","0","0","0","0"
"simulations/construct-X/uncleaved/construct_X_uncleaved.tgz","63728851","29509aa6a105b707ab9fb6b9065eb6cd3199cdb23a589372f9e9b699b18ee6a5","140","charmm-gui-8644096179","True","0","0","0","0","0"
"simulations/construct-X/uncleaved/uncleaved.tgz","7213","d62a9f9acfbcffb56119a56ce562dcc26b499f4d1c3872f850ada0c65bda8440","12","uncleaved","True","0","0","0","0","0"
"simulations/construct-X/uncleaved/uncleaved(1).tgz","9305","d338a100947a70bdb3981e38a504fee4fa99bd9ddb8f0f1f2840ecc520318143","12","uncleaved","True","0","0","0","0","0"
"simulations/M3_SMD初筛核验修订包.tar.gz","11963","bc48c181aec43e1781e8bc1d55e6958d7626916c6946919e59aa4e480283411c","14","M3_SMD初筛核验修订包","True","0","0","0","0","0"
"simulations/M3_SMD初筛核验修订包(1).tar.gz","12406","82de76be417b85dc7ffa4b14a5d190f347c16dded323ace376a4c1b63a8c2637","14","M3_SMD初筛核验修订包","True","0","0","0","0","0"
