# t_ps  r2_target_Ang  dist_Ang  force_kcal_per_mol_per_Ang  work_cum_kcal_per_mol
0.000000000000000000e+00 3.126999999999999957e+01 3.127384999999999948e+01 -5.543000000000000010e-02 0.000000000000000000e+00
1.000000000000156319e+01 3.128000000000000114e+01 3.108659000000000106e+01 2.785120000000000040e+00 -6.550000000000000266e-03
1.999999999999957367e+01 3.128999999999999915e+01 3.115299999999999869e+01 1.972760000000000069e+00 1.362999999999999975e-02
3.000000000000113687e+01 3.130000000000000071e+01 3.119417999999999935e+01 1.523879999999999901e+00 4.474000000000000199e-02
3.999999999999914735e+01 3.130999999999999872e+01 3.122322000000000131e+01 1.249570000000000070e+00 5.684000000000000163e-02
5.000000000000071054e+01 3.132000000000000028e+01 3.127334000000000103e+01 6.718399999999999928e-01 5.183999999999999719e-02
5.999999999999872102e+01 3.132999999999999829e+01 3.128134999999999977e+01 7.005900000000000460e-01 7.191999999999999782e-02
7.000000000000028422e+01 3.133999999999999986e+01 3.110907999999999873e+01 3.325180000000000025e+00 8.461000000000000465e-02
8.000000000000184741e+01 3.135000000000000142e+01 3.125719000000000136e+01 1.336430000000000007e+00 9.739000000000000434e-02
8.999999999999985789e+01 3.135999999999999943e+01 3.114467000000000141e+01 3.100820000000000132e+00 1.146800000000000042e-01
1.000000000000014211e+02 3.137000000000000099e+01 3.101913000000000054e+01 5.052509999999999835e+00 1.570799999999999974e-01
1.099999999999994316e+02 3.137999999999999901e+01 3.096577999999999875e+01 5.964789999999999814e+00 2.110100000000000031e-01
1.200000000000009948e+02 3.139000000000000057e+01 3.090313000000000088e+01 7.010869999999999713e+00 2.680000000000000160e-01
1.299999999999990052e+02 3.139999999999999858e+01 3.111808999999999870e+01 4.059520000000000017e+00 3.302999999999999825e-01
1.400000000000005684e+02 3.141000000000000014e+01 3.131578999999999979e+01 1.356570000000000054e+00 3.504900000000000237e-01
1.500000000000021316e+02 3.142000000000000171e+01 3.132226999999999961e+01 1.407259999999999955e+00 3.491400000000000059e-01
1.600000000000001421e+02 3.142999999999999972e+01 3.152274999999999849e+01 -1.335560000000000080e+00 3.532600000000000184e-01
1.700000000000017053e+02 3.144000000000000128e+01 3.150047999999999959e+01 -8.709000000000000075e-01 3.469900000000000206e-01
1.799999999999997158e+02 3.144999999999999929e+01 3.153610000000000113e+01 -1.239810000000000079e+00 3.346700000000000230e-01
1.900000000000012790e+02 3.146000000000000085e+01 3.149932000000000087e+01 -5.662800000000000056e-01 3.167800000000000060e-01
1.999999999999992895e+02 3.146999999999999886e+01 3.147813000000000017e+01 -1.171200000000000019e-01 3.083799999999999875e-01
2.100000000000008527e+02 3.148000000000000043e+01 3.161965000000000003e+01 -2.010930000000000106e+00 3.032900000000000040e-01
2.199999999999988631e+02 3.148999999999999844e+01 3.143883999999999901e+01 7.367700000000000360e-01 2.931300000000000017e-01
2.300000000000004263e+02 3.150000000000000000e+01 3.139570000000000149e+01 1.501900000000000013e+00 2.994600000000000040e-01
2.400000000000019895e+02 3.151000000000000156e+01 3.127909999999999968e+01 3.325029999999999930e+00 3.160600000000000076e-01
2.500000000000000000e+02 3.151999999999999957e+01 3.152126000000000161e+01 -1.819000000000000131e-02 3.328800000000000092e-01
2.600000000000015348e+02 3.153000000000000114e+01 3.141674000000000078e+01 1.630900000000000016e+00 3.331000000000000072e-01
2.699999999999995453e+02 3.153999999999999915e+01 3.163516999999999868e+01 -1.370460000000000012e+00 3.417000000000000037e-01
2.800000000000011369e+02 3.155000000000000071e+01 3.156315999999999988e+01 -1.894800000000000095e-01 3.362399999999999833e-01
2.899999999999991473e+02 3.155999999999999872e+01 3.192452000000000112e+01 -5.249050000000000438e+00 2.949700000000000100e-01
3.000000000000006821e+02 3.157000000000000028e+01 3.185951000000000022e+01 -4.168949999999999712e+00 2.501800000000000135e-01
3.099999999999986926e+02 3.157999999999999829e+01 3.186835999999999913e+01 -4.152389999999999581e+00 2.354100000000000081e-01
3.200000000000002842e+02 3.158999999999999986e+01 3.200177999999999656e+01 -5.929570000000000007e+00 1.957699999999999996e-01
3.300000000000018190e+02 3.160000000000000142e+01 3.190938999999999837e+01 -4.455239999999999867e+00 1.443599999999999883e-01
3.399999999999998295e+02 3.160999999999999943e+01 3.179482000000000141e+01 -2.661379999999999857e+00 1.206099999999999950e-01
3.500000000000014211e+02 3.162000000000000099e+01 3.158492000000000033e+01 5.052200000000000024e-01 1.152299999999999991e-01
3.599999999999994316e+02 3.162999999999999901e+01 3.192587999999999937e+01 -4.260629999999999917e+00 1.017300000000000010e-01
3.700000000000009663e+02 3.164000000000000057e+01 3.184543000000000035e+01 -2.958250000000000046e+00 7.858999999999999320e-02
3.799999999999989768e+02 3.164999999999999858e+01 3.175527999999999906e+01 -1.515970000000000040e+00 6.353000000000000314e-02
3.900000000000005684e+02 3.166000000000000014e+01 3.198382000000000147e+01 -4.663030000000000008e+00 4.415000000000000174e-02
4.000000000000021032e+02 3.167000000000000171e+01 3.172561999999999927e+01 -8.008699999999999708e-01 2.733999999999999972e-02
4.100000000000001137e+02 3.167999999999999972e+01 3.183088000000000051e+01 -2.172709999999999919e+00 1.729999999999999941e-02
4.200000000000017053e+02 3.169000000000000128e+01 3.179364999999999952e+01 -1.492550000000000043e+00 7.779999999999999589e-03
4.299999999999997158e+02 3.169999999999999929e+01 3.168223000000000056e+01 2.558400000000000118e-01 5.290000000000000431e-03
4.400000000000012506e+02 3.171000000000000085e+01 3.166498999999999953e+01 6.481799999999999784e-01 -3.499999999999999964e-04
